Id,Title,CCLI,Themes,Notes,Last Scheduled Date,Genre,Mood,Purpose,Themes,Arrangement 1 Name,Arrangement 1 BPM,Arrangement 1 Length,Arrangement 1 Notes,Arrangement 1 Keys,Arrangement 2 Name,Arrangement 2 BPM,Arrangement 2 Length,Arrangement 2 Notes,Arrangement 2 Keys
14299151,F020 - Flame Of Fire Rushing Wind,7065986,"","","September 08, 2017",Contemporary,Desperation & Dependence,Call to Worship,"God's Greatness, Power, Glory, Thankfulness & Adoration",Default Arrangement,,0,"","Gb, E, A",Flame of Fire/Spirit Break Out,,0,"","E, A, F"
12878925,Fullness,7067557,"","","June 25, 2017","","","","",Default Arrangement,,0,"",C,,,,
12608406,G001 - Give Me Faith,5680939,"","","July 16, 2017",Contemporary,Declarative,"",Trust,G001 - Give Me Faith,143,0,"","A, G",,,,
12638742,G002 - Give Thanks,20285,"","","August 13, 2017",Contemporary,Adoration,"",Thankfulness & Adoration,G002 - Give Thanks,170,0,"",E,,,,
12638582,G003 - Give Us Clean Hands,2060208,"","",,Contemporary,Desperation & Dependence,"",Repentance,Default Arrangement,,0,"",G,,,,
12638097,G004 - Glorious Ruins,6514059,"","","August 26, 2017",Contemporary,Declarative,"",Commitment & Dedication,Default Arrangement,,0,"","E, F",,,,
12638754,G005 - Glory,3744592,"","","July 13, 2017",Contemporary,Celebratory,Call to Worship,"God's Greatness, Power, Glory",G005 - Glory,110,0,"","E, D, C",,,,
12638077,G006 - Go,5806706,"","","August 20, 2017",Contemporary,Celebratory,"","Freedom, Surrender",G006 - Go,150,0,"",A,,,,
12638039,G007 - God Be Praised/Our God Reigns,5521847,"","","September 02, 2017",Contemporary,Declarative,Call to Worship,"God's Kingdom & Reign, Thankfulness & Adoration",G007 - God Be Praised/Our God Reigns,144,0,"","A, G, F: Miesha's Key",,,,
12635267,G008 - God I Look To You,5858163,"","","August 28, 2017",Contemporary,Desperation & Dependence,"","Commitment & Dedication, Thankfulness & Adoration",G008 - God I Look To You,136,0,"","A, F, E",,,,
12635328,G009 - God Is Able,5894275,"","","July 27, 2017",Contemporary,Declarative,"","God's Greatness, Power, Glory",G009 - God Is Able,158,0,"","A, E, G",,,,
12592427,G010 - God Is Great,3375851,"","",,Contemporary,Celebratory,Call to Worship,"God's Greatness, Power, Glory",Default Arrangement,,0,"",B,,,,
12603068,G011 - God Of Ages,4869933,"","",,Contemporary,Declarative,"","God's Faithfulness, Trust",Default Arrangement,,0,"",G,,,,
12592821,G012 - God Of My Days,5074356,"","",,Contemporary,Desperation & Dependence,"","God's Faithfulness, Trust",Default Arrangement,,0,"",G,,,,
12603116,G013 - God Of Wonders,3118757,"","","March 26, 2017",Contemporary,Adoration,"","God's Greatness, Power, Glory",Default Arrangement,161,0,"","G, A",,,,
12603134,G014 - God's Romance,3187520,"","",,Contemporary,Celebratory,"","God's Kingdom & Reign, God's Love & as Father",Default Arrangement,,0,"",A,,,,
